race_id	0	1	2	3
202301010407	枠連	2 - 7	1740	6
202301010407	馬連	2 - 11	7750	18
202301010407	ワイド	2 - 11 2 - 9 9 - 11	3,040 3,570 40,480	25 29 78
202301010407	馬単	2 → 11	9840	24
202301010407	三連複	2 - 9 - 11	120360	147
202301010407	三連単	2 → 11 → 9	384640	545
202301010408	単勝	11	440	2
202301010408	複勝	11 6 5	170 320 500	2 5 10
202301010408	枠連	5 - 8	1550	8
202301010408	馬連	6 - 11	2520	10
202301010408	ワイド	6 - 11 5 - 11 5 - 6	820 2,200 3,910	9 30 40
202301010408	馬単	11 → 6	4060	16
202301010408	三連複	5 - 6 - 11	22530	72
202301010408	三連単	11 → 6 → 5	90420	317
202301010409	単勝	4	180	1
202301010409	複勝	4 11 7	110 160 200	1 2 3
202301010409	枠連	3 - 7	320	1
202301010409	馬連	4 - 11	510	1
202301010409	ワイド	4 - 11 4 - 7 7 - 11	270 500 830	1 3 9
202301010409	馬単	4 → 11	730	1
202301010409	三連複	4 - 7 - 11	1890	2
202301010409	三連単	4 → 11 → 7	4220	3
202301010410	単勝	10	790	4
202301010410	複勝	10 9 5	220 190 630	3 2 9
202301010410	枠連	6 - 6	1540	7
202301010410	馬連	9 - 10	1270	5
202301010410	ワイド	9 - 10 5 - 10 5 - 9	520 2,490 1,950	5 28 22
202301010410	馬単	10 → 9	2890	11
202301010410	三連複	5 - 9 - 10	11720	41
202301010410	三連単	10 → 9 → 5	57150	194
202301010411	単勝	7	450	1
202301010411	複勝	7 2 1	210 540 260	2 9 4
202301010411	枠連	2 - 5	3300	17
202301010411	馬連	2 - 7	3930	17
202301010411	ワイド	2 - 7 1 - 7 1 - 2	1,610 910 1,600	21 10 20
202301010411	馬単	7 → 2	6350	24
202301010411	三連複	1 - 2 - 7	8920	30
202301010411	三連単	7 → 2 → 1	41860	131
202301010412	単勝	12	510	3
202301010412	複勝	12 9 6	190 210 430	2 3 8
202301010412	枠連	6 - 7	730	2
202301010412	馬連	9 - 12	1680	4
